step,tag,value
49072,train/policy_log_std_std,0.5491141677605036
49072,train/policy_loss_mean,-0.5205928327176518
49072,train/policy_loss_std,0.01568073801205648
49072,train/reward_loss_mean,0.26154378056526184
49072,train/reward_loss_std,0.007099373766531891
49072,train/total_loss_mean,0.051129895122573016
49072,train/total_loss_std,0.0024087917900850043
49072,train/value_loss_mean,0.2477704411307082
49072,train/value_loss_std,0.023438069696739235
49072,train/value_scale_mean,141.38163455073445
49072,train/value_scale_std,1.3760811068587122
49072,timing/collect_chunk_s,110.17172214388847
49072,timing/train_chunk_s,4.459076290950179
49072,dense_rhs/training_bucket_horizon,3.0
49072,system/heartbeat,1.0
50000,timing/checkpoint_blocking_s,0.2787087466567755
50000,eval/return_mean,765.3822631835938
50000,eval/return_std,0.3838851749897003
50000,eval/return_max,765.92431640625
50000,eval/return_min,764.6881103515625
50000,timing/eval_s,6.2323985155671835
50000,eval/selected_horizon,3.0
50000,eval/training_bucket_horizon,3.0
50000,system/heartbeat,1.0
